SciName,Taxonomy,Vil_Code,sell,use,food,medicine,CHECK,Qty_sell,Qty_use,Qty_food,Qty_med,Inc_sell,Inc_use,Inc_food,Inc_medicine,No_HH,Qty_p_HH,Qty,PPU_LAK,PPU_USD,Income_USD,Time_Travel,Status_en,Status_rel,Status_abs,Reason_en,Forest,Riparian,bamboo,bush_fallow,upland_field,others,CHECK_2,Qty_For,Qty_Rip,Qty_Bam,Qty_Bfa,Qty_UpF,Qty_Oth,Inc_For,Inc_Rip,Inc_Bam,Inc_Bfa,Inc_UpF,Inc_Oth,For_sell_inc,For_use_inc,For_food_inc,For_med_inc,Rip_sell_inc,Rip_use_inc,Rip_food_inc,Rip_med_inc,bam_sell_inc,Bam_use_inc,Bam_food_inc,Bam_med_inc,Bfa_sell_inc,Bfa_use_inc,Bfa_food_inc,Bfa_med_inc,UpF_sell_inc,UpF_use_inc,UpF_food_inc,UpF_med_inc,Oth_sell_inc,Oth_use_inc,Oth_food_inc,Oth_med_inc
Acacia pennata,Climber Vine,608075,0,0,1,0,1,0,0,316,0,0,0,0,0,79,4,316,0,0,0,0,Stable,0,0,NA,1,0,0,0,0,0,1,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608091,0,0,1,0,1,0,0,0,0,0,0,0,0,100,0,0,0,0,0,45,Stable,0,0,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608094,1,0,1,0,2,71,0,71,0,17.75,0,17.75,0,71,2,142,2000,0.25,35.5,0,Stable,0,0,NA,1,0,0,0,0,0,1,142,0,0,0,0,0,35.5,0,0,0,0,0,17.75,0,17.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,608105,0,0,1,0,1,0,0,210,0,0,0,0,0,73,3,210,0,0,0,0,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609001,0,0,1,0,1,0,0,550,0,0,0,275,0,55,10,550,4000,0.5,275,60,Stable,0,0,not change,1,0,0,0,0,0,1,550,0,0,0,0,0,275,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609006,0,0,1,0,1,0,0,96,0,0,0,0,0,96,1,96,0,0,0,25,Increase,10,10,NA,0,1,0,1,0,0,2,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609009,0,0,1,0,1,0,0,32,0,0,0,0,0,32,1,32,0,0,0,60,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609010,1,0,1,0,2,1395,0,1395,0,523.125,0,523.125,0,93,30,2790,3000,0.375,1046.25,30,Stable,0,0,NA,0,1,0,0,0,0,1,0,2790,0,0,0,0,0,1046.3,0,0,0,0,0,0,0,0,523.15,0,523.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609014,0,0,1,0,1,0,0,340,0,0,0,0,0,34,10,340,0,0,0,20,Stable,0,0,NA,1,0,0,0,0,0,1,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609015,0,0,1,0,1,0,0,10,0,0,0,0,0,5,2,10,0,0,0,120,Decrease,30,-30,NA,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
