SciName,Taxon,Vil_Code,sell,use,food,medicine,No_HH,Unit,Qty_p_HH,Qty,Income_USD,Forest,Riparian,bamboo,bush_fallow,upland_field,others
Smilax megacarpa,Vines,605095,0,0,1,0,13,????,20,260,0,1,0,0,0,0,0
Smilax megacarpa,Vines,612007,0,1,1,0,67,????,10,0,0,0,0,0,1,0,0
Smilax megacarpa,Vines,612999,0,0,1,0,54,????,5,270,0,1,0,0,0,0,0
Smilax megacarpa,Vines,612003,0,0,1,0,27,????,2,54,0,0,0,0,1,0,0
Smilax glabra,Vines,608013,0,0,0,1,50,????,4,200,0,1,0,0,1,0,0
Smilax glabra,Vines,609042,0,0,0,1,,????,0,0,0,1,0,0,0,0,0
Smilax glabra,Vines,906002,0,1,1,0,111,????,1,111,0,1,0,0,1,0,0
Smilax glabra,Vines,906003,0,1,0,1,62,????,1.4,86.8,0,1,0,0,0,0,0
Smilax glabra,Vines,906004,0,0,0,1,,????,5,0,0,0,0,0,1,0,0
Smilax glabra,Vines,906005,0,1,0,1,80,????,1,80,0,1,0,0,0,0,0
Smilax glabra,Vines,906005,0,1,1,0,15,????,0.5,7.5,0,1,0,0,0,0,0
Smilax glabra,Vines,906006,0,0,0,1,90,????,0.5,45,0,1,0,0,0,0,0
Smilax glabra,Vines,906006,0,0,1,0,10,????,1,10,0,1,0,0,0,0,0
Smilax glabra,Vines,906007,0,0,0,1,73,????,1,73,0,1,0,0,0,0,0
Smilax glabra,Vines,906009,0,0,0,1,90,????,0.5,45,0,1,0,0,0,0,0
Smilax glabra,Vines,906009,0,1,0,0,90,????,0.5,45,0,1,0,0,0,0,0
Smilax glabra,Vines,906011,0,0,0,1,108,????,0.5,54,0,1,0,0,0,0,0
Smilax glabra,Vines,906013,0,0,0,1,10,????,1,10,0,1,0,0,0,0,0
Smilax glabra,Vines,605040,1,0,0,0,65,????,100,6500,1625,1,0,0,0,0,0
Smilax glabra,Vines,605093,1,0,1,1,53,????,100,5300,1656.25,1,0,0,0,0,0
Smilax glabra,Vines,605066,1,0,0,0,20,NA,50,1000,250,1,0,0,0,0,0
Smilax glabra,Vines,605054,1,0,0,0,20,????,30,600,112.5,1,0,0,0,0,0
Smilax glabra,Vines,605165,0,0,0,1,60,????,3,0,0,0,0,0,0,0,1
Smilax glabra,Vines,603021,0,1,0,1,100,????,2,200,0,0,0,0,1,0,0
Smilax glabra,Vines,612003,1,1,0,0,3,????,10,30,7.5,0,0,0,1,0,0
Smilax glabra,Vines,708057,1,0,1,0,56,????,5,280,175,0,0,0,1,0,0
Smilax glabra,Vines,906017,1,1,0,1,20,????,10,200,500,1,0,0,0,0,0
Smilax glabra,Vines,901004,1,0,1,0,39,????,10,390,170.625,0,0,0,1,0,0
Smilax glabra,Vines,901003,1,0,1,0,39,????,10,390,1706.25,0,0,0,1,0,0
Smilax glabra,Vines,901011,1,0,1,0,33,????,50,1650,412.5,1,0,0,0,0,0
Smilax glabra,Vines,1105116,0,0,0,0,60,????,0.5,30,1.875,1,0,0,0,0,0
Smilax glabra,Vines,1105077,0,0,0,0,159,????,2,318,795,1,0,1,0,0,0
Smilax glabra,Vines,904040,0,0,1,0,33,kg,0.5,16.5,0,1,0,0,0,0,0
Smilax glabra,Vines,904042,0,1,0,0,36,kg,2,72,0,1,0,0,0,0,0
Smilax glabra,Vines,605058,1,0,0,0,112,kg,10,1120,280,0,0,0,0,0,0
Smilax glabra,Vines,605053,1,0,0,0,50,NA,10,500,187.5,0,0,0,0,0,0
Smilax glabra,Vines,605057,1,0,0,0,132,kg,30,3960,1980,0,0,0,0,0,0
Smilax glabra,Vines,605045,1,0,0,0,188,kg,100,18800,7050,0,0,0,0,0,0
Smilax glabra,Vines,605046,1,0,0,0,30,kg,200,6000,2250,0,0,0,0,0,0
Smilax glabra,Vines,701142,1,0,0,1,110,kg,30,3300,825,0,0,0,0,0,0
Smilax glabra,Vines,703060,1,0,0,0,56,kg,0,0,0,0,0,0,0,0,0
Smilax glabra,Vines,1501016,0,0,0,1,20,????,4,80,0,0,0,0,0,0,0
Smilax glabra,Vines,707008,1,0,0,0,54,kg,10,540,202.5,0,0,0,0,0,0
Smilax glabra,Vines,707005,1,0,1,0,5,kg,10,50,18.75,0,0,0,0,0,0
Smilax glabra,Vines,605031,1,0,0,0,79,Kg,40,3160,987.5,0,0,0,0,0,0
Smilax glabra,Vines,605015,1,0,1,0,42,Kg,10,420,157.5,0,0,0,0,0,0
Smilax glabra,Vines,605024,1,0,0,1,140,Kg,100,14000,5250,0,0,0,0,0,0
Smilax glabra,Vines,605025,1,0,0,0,15,Kg,20,300,37.5,0,0,0,0,0,0
Smilax glabra,Vines,605021,1,0,0,1,70,Kg,100,7000,2187.5,0,0,0,0,0,0
Smilax glabra,Vines,605012,1,0,1,0,68,Kg,500,34000,12750,0,0,0,0,0,0
Smilax glabra,Vines,605023,1,0,0,0,50,Kg,20,1000,187.5,0,0,0,0,0,0
Smilax glabra,Vines,605002,1,0,1,1,58,Kg,300,17400,6525,0,0,0,0,0,0
Shiponodon celastrineum,Vines,609056,0,0,0,1,72,????,0,0,0,0,1,0,0,0,0
Reynoutria multiflora,Vines,704076,0,0,1,0,0,????,0,0,0,0,0,0,0,0,1
Reynoutria multiflora,Vines,704074,0,0,0,0,,NA,0,0,0,0,0,0,1,0,0
Reynoutria multiflora,Vines,704002,1,0,1,0,3,????,10,30,18.75,0,0,0,0,0,1
Reynoutria multiflora,Vines,708065,1,0,0,0,43,????,6,258,161.25,1,0,0,0,0,0
Reynoutria multiflora,Vines,708055,1,0,0,0,10,????,45,450,393.75,0,0,0,1,0,0
Reynoutria multiflora,Vines,701150,1,0,0,0,5,kg,20,100,37.5,0,0,0,0,0,0
Reynoutria multiflora,Vines,701137,0,0,0,1,2,NA,3,6,6,0,0,0,0,0,0
Reynoutria multiflora,Vines,701142,1,1,0,1,60,kg,8,480,240,0,0,0,0,0,0
Reynoutria multiflora,Vines,703087,1,0,0,0,65,kg,10,650,650,0,0,0,0,0,0
Reynoutria multiflora,Vines,703055,1,0,0,0,30,kg,20,600,750,0,0,0,0,0,0
Reynoutria multiflora,Vines,703060,1,0,0,0,56,kg,5,280,420,0,0,0,0,0,0
Reynoutria multiflora,Vines,703060,1,0,0,0,56,kg,10,560,70,0,0,0,0,0,0
Reynoutria multiflora,Vines,703096,1,0,0,0,45,kg,2,90,90,0,0,0,0,0,0
Reynoutria multiflora,Vines,703061,1,0,0,0,30,kg,3,90,112.5,0,0,0,0,0,0
Reynoutria multiflora,Vines,701038,1,0,0,0,53,kg,30,1590,198.75,0,0,0,0,0,0
Reynoutria multiflora,Vines,707007,1,1,0,0,115,kg,10,1150,718.75,0,0,0,0,0,0
Reynoutria multiflora,Vines,707005,0,0,0,1,5,kg,3,15,0,0,0,0,0,0,0
Piper sp.,Vines,609017,0,0,0,0,,NA,0,0,0,1,0,0,0,0,0
Piper sp.,Vines,609051,0,0,0,1,10,????,1,10,0,0,1,0,0,0,1
Piper sp.,Vines,906009,0,0,0,1,5,????,0.1,0.5,0,1,1,0,0,0,0
Piper sp.,Vines,612011,1,0,0,0,140,????,1,140,17.5,1,0,0,0,0,0
Piper sarmentosum,Vines,608039,1,0,1,0,89,????,1,89,55.625,1,0,0,0,0,0
Piper sarmentosum,Vines,609007,0,0,1,0,92,NA,0,0,0,0,1,0,0,0,0
Piper sarmentosum,Vines,609010,0,0,1,0,93,NA,0,0,0,0,1,0,0,0,0
Piper sarmentosum,Vines,609020,1,0,1,0,5,????,20,100,25,0,1,0,0,0,0
Piper sarmentosum,Vines,609026,0,0,1,0,38,????,0.5,19,0,0,0,0,1,0,0
Piper sarmentosum,Vines,609031,1,0,1,0,62,????,10,620,77.5,0,1,0,0,0,0
Piper sarmentosum,Vines,609044,0,0,1,0,62,????,1,62,0,0,0,0,0,0,1
Piper sarmentosum,Vines,609046,0,0,1,0,62,????,10,620,0,0,0,0,1,0,0
Piper sarmentosum,Vines,609047,0,0,1,0,107,NA,0,0,0,1,0,0,0,0,0
Piper sarmentosum,Vines,609055,1,0,1,0,72,????,10,720,900,0,1,0,0,0,0
Piper sarmentosum,Vines,609056,1,0,1,0,72,????,10,720,90,0,1,0,0,0,0
Piper sarmentosum,Vines,609058,0,0,1,0,75,NA,0,0,0,0,1,0,1,0,0
Piper sarmentosum,Vines,609060,0,0,1,0,,NA,0,0,0,0,0,0,0,0,1
Piper sarmentosum,Vines,609064,1,0,1,0,58,????,5,290,36.25,0,1,0,0,0,0
Piper sarmentosum,Vines,609069,0,0,1,0,54,NA,0,0,0,0,0,0,1,0,0
Piper sarmentosum,Vines,609074,0,0,1,0,172,NA,0,0,0,1,0,0,0,0,0
Piper sarmentosum,Vines,609078,0,0,1,0,43,????,1,43,0,0,0,0,1,0,0
Piper sarmentosum,Vines,609081,0,0,1,0,76,????,1,76,0,1,0,0,0,0,0
Piper sarmentosum,Vines,609083,0,0,0,1,84,NA,0,0,0,0,0,0,1,0,1
Piper sarmentosum,Vines,609085,0,0,1,0,103,????,5,515,0,0,0,0,1,0,0
Piper sarmentosum,Vines,906001,0,0,1,1,170,????,1,170,0,0,1,0,0,0,0
Piper sarmentosum,Vines,906002,0,0,1,0,121,????,1,121,0,1,0,0,0,0,0
Piper sarmentosum,Vines,906003,0,1,1,0,142,????,10,620,0,0,1,0,0,0,0
Piper sarmentosum,Vines,906005,0,1,1,0,80,????,0.5,40,0,0,0,0,0,0,1
Piper sarmentosum,Vines,906009,0,0,1,0,90,????,0.6,54,0,0,1,0,0,0,0
Piper sarmentosum,Vines,906009,0,0,1,0,90,????,1,90,0,1,0,0,0,0,0
Piper sarmentosum,Vines,605095,0,0,1,0,52,????,2,104,0,0,0,0,1,0,0
Piper sarmentosum,Vines,605054,0,0,1,0,184,????,5,920,0,0,0,0,1,0,0
Piper sarmentosum,Vines,612999,0,0,1,0,54,????,2,108,0,0,1,0,0,0,0
Piper sarmentosum,Vines,906019,0,0,1,0,50,????????,5,250,0,0,1,0,0,0,0
Piper sarmentosum,Vines,1105160,0,0,0,0,57,????,4,228,1.425,1,0,0,0,0,0
Piper sarmentosum,Vines,1105119,0,0,0,0,391,????,4,1564,9.775,1,0,0,0,0,0
Piper sarmentosum,Vines,907041,0,0,1,0,40,kg,1,40,0,1,1,0,0,0,0
Piper sarmentosum,Vines,904995,1,0,1,0,10,kg,30,300,37.5,1,1,0,0,0,0
Piper sarmentosum,Vines,207002,1,0,1,0,60,kg,8,480,60,0,1,0,0,0,0
Piper sarmentosum,Vines,207003,1,0,1,0,150,kg,0.5,75,9.375,0,1,0,0,0,0
Piper sarmentosum,Vines,207056,0,0,1,0,82,kg,0.5,41,0,0,1,0,0,0,0
Piper sarmentosum,Vines,207001,1,0,1,0,50,kg,1,50,6.25,0,1,0,0,0,0
Piper sarmentosum,Vines,207001,1,0,1,0,60,kg,8,480,60,0,1,0,0,0,0
Piper sarmentosum,Vines,207008,0,0,1,0,65,kg,5,325,0,0,1,0,0,0,0
Piper sarmentosum,Vines,605053,0,0,1,0,200,NA,1,200,0,0,0,0,0,0,0
Piper sarmentosum,Vines,605034,0,0,1,0,59,kg,5,295,0,0,0,0,0,0,0
Piper sarmentosum,Vines,1501016,0,0,1,0,85,????,5,425,0,0,0,0,0,0,0
Piper sarmentosum,Vines,1501017,0,0,1,0,85,????,2,170,0,0,0,0,0,0,0
Piper sarmentosum,Vines,1501043,0,0,1,0,110,????,8,880,0,0,0,0,0,0,0
Piper sarmentosum,Vines,1501044,0,0,1,0,116,????,3,348,0,0,0,0,0,0,0
Piper longum,Vines,609085,0,0,1,0,103,????,2,206,0,0,0,0,1,0,0
Piper interitum,Vines,608011,1,0,1,0,71,????,5,355,221.875,1,0,0,0,0,0
Piper interitum,Vines,608012,0,0,1,0,86,????,4,344,0,1,0,0,0,0,0
Piper interitum,Vines,608013,0,0,1,0,217,????,2,434,0,1,0,0,0,0,0
Piper interitum,Vines,608035,1,0,1,1,101,????,3,303,75.75,1,0,0,0,0,0
Piper interitum,Vines,608037,1,0,1,0,64,????,4,256,16,1,0,0,0,0,0
Piper interitum,Vines,608038,1,0,1,0,78,????,20,1560,195,1,0,0,0,0,0
Piper interitum,Vines,608039,1,0,1,0,89,????,3,267,166.875,0,0,0,1,0,0
Piper interitum,Vines,608040,1,0,1,0,165,????,10,1650,1031.25,1,1,0,0,0,0
Piper interitum,Vines,608045,0,0,1,0,,????,4.17,0,0,1,0,0,0,0,0
Piper interitum,Vines,608061,1,0,1,0,86,????,15,735,91.875,1,0,0,0,0,0
Piper interitum,Vines,608064,1,0,1,0,87,????,1,87,10.875,1,0,0,0,0,0
Piper interitum,Vines,608074,0,0,1,0,74,????,1,74,0,1,1,0,0,0,0
Piper interitum,Vines,608075,0,0,1,0,78,????,1,78,0,1,0,0,0,0,0
Piper interitum,Vines,608091,0,0,1,0,100,????,0,0,0,0,1,0,0,0,0
Piper interitum,Vines,608094,1,0,1,0,71,????,6,426,106.5,1,1,0,0,0,0
Piper interitum,Vines,609001,1,0,1,0,10,????,20,200,75,1,0,0,0,0,0
Piper interitum,Vines,609006,0,0,1,0,96,????,2,192,0,1,1,0,0,0,0
Piper interitum,Vines,609007,0,0,0,0,,NA,0,0,0,0,1,0,0,0,0
Piper interitum,Vines,609009,0,0,1,0,5,????,10,50,0,1,0,0,0,0,0
Piper interitum,Vines,609010,0,0,1,1,93,????,2,186,0,1,0,0,0,0,0
Piper interitum,Vines,609015,0,0,1,0,57,????,2,114,0,1,0,0,0,0,0
Piper interitum,Vines,609017,0,0,1,0,36,NA,0,0,0,1,0,0,0,0,0
Piper interitum,Vines,609020,0,0,0,0,,????,0,0,0,1,0,0,0,0,0
Piper interitum,Vines,609022,0,0,1,0,30,????,4,120,0,1,0,0,0,0,0
Piper interitum,Vines,609026,0,0,1,0,38,????,1,38,0,1,0,0,0,0,0
Piper interitum,Vines,609029,1,0,1,0,74,????,5,370,138.75,1,0,0,0,0,0
Piper interitum,Vines,609030,1,0,1,0,30,????,3,90,33.75,1,1,0,0,0,0
Piper interitum,Vines,609036,0,0,1,0,97,????,3,291,0,1,0,0,0,0,0
Piper interitum,Vines,609038,0,0,1,0,66,????,0.5,33,0,1,1,0,0,0,0
Piper interitum,Vines,609039,0,0,1,0,30,NA,0,0,0,0,0,0,1,0,0
Piper interitum,Vines,609041,0,0,1,1,34,????,1,34,0,1,1,0,0,0,0
Piper interitum,Vines,609042,0,0,1,0,8,????,2,16,0,1,0,0,0,0,0
Piper interitum,Vines,609043,0,0,1,0,71,NA,0,0,0,1,0,0,0,0,0
Piper interitum,Vines,609056,1,0,1,0,72,????,1,72,45,1,1,0,0,0,0
