ID,NTFP_Cleaned,SpecialNTFP,other lao names,Scientific_Name_Cleaned,Hmong,Khamu,Vil_Code,Type_la_030413,Scientific_Name_030413,Cleaned NTFP type polished round 2,Sounthone _chris 30 March,sell,use,food,medicin,No_HH,Unit,Qty_per_HH,Qty_All,Price_per_Unit,Price_All,Location_gathered_la,Time_Travel,Status_la,Status_en,Status_%,Reason_la,Reason_en,Palm,Palm1,Rattan,Rattan1,Trees,Trees1,Herb,Herb1,Shrubs,Shrubs1,Climber_Vine,Climber_Vine1,Monocot,Monocot1,Fungi,Fungi1,Tuber_limber,Tuber_limber1,Insects,Insects1,Orchid,Orchid1,Mushroom,Mushroom1,Fern,Fern1,Check_Type,Forest_Type_la,Forest_Type_CF,Forest_Type2,not a forest type,not spec'd or classed,forest in general,Dense forest,Dense moist  forest,strem source f,cool moist F,Pah Khok,pine,pine mixed,riverine forest,beside stream,stream,mixed forest,chest nut,Bamboo,Pah Khang (mainly grass'd),grassland,bush fallow gen'l,Old bush fallow,Young bush fallow,upland field,paddy,wet land,Banana forest,termite soil,tree stumps,cliff,clifftop,Other specific nisches,Check_Forest,LastUpdated
5725,?????,,,,,,605067,,,,,1,0,0,0,60,,30000,1800000,2500,7500000,"????????????,??????",90,???????,Not change,100,"??????, ?????",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,?????????,,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10053,?????????,bamboo,,Indosasa sindica,,,701038,,,,,1,1,1,,73,kg,3000,219000,3000,657000000,??????,10,??????,,0,???????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9659,?????????,bamboo,,Indosasa sindica,,,605045,,,,,1,,1,,188,kg,1000,188000,3000,564000000,???????????,180,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9657,?????????,bamboo,,Bambusa sp.,,,605045,,,,,1,,1,,188,kg,1000,188000,3000,564000000,???????,120,???????,,50,???????????? ??? ???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9576,????,,,,,,605047,,,,,1,,,,246,kg,500,123000,4000,492000000,"????????,????????,??????",20,???????,,15,"???????????,???????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,?????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
7817,?????????,,,Indosasa sinica C.D.Chu & C.S.Chao,,,1105116,,,,,,,,,60,????,2000,120000,800,96000000,????????????,120,??????,Not change,50,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,
7984,?????????,,,,,,907052,,,,,1,,,,60,kg,2000,120000,1200,144000000,????????????,240,????,,90,??????????????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,?????????,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,3,
538,??????????,duk deua,,Amorphophallus kerrii,??????,?????????,608053,???????,Amorphophallus sp.,???????,???????,1,0,0,1,210,????,500,105000,10000,1050000000,????,,????????,Not change,0,???????????????????,,,,,,,,,,,,,,,,,,1,1050000000,,,,,,,,,1,?????????,?????????,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11460,????????,,,,,,605025,,,,,1,,,1,102,Kg,1000,102000,400,40800000,???????,120,??????,,50,?????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
8166,????????,,,Daemonorops jenkinsiana (Griff.) Mart,,,904995,,,,,1,,1,,30,kg,3000,90000,15000,1350000000,??????????,60,????,,20,??????????????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,????????,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,
8179,???,,,Thysanolaena maxima,,,904995,,,,,,1,,,70,kg,1200,84000,0,0,?????????????,40,????,,,??????????????,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,"????????,????????",,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,3,
7889,???????,,,Coscinium fenestratum Colebr.,,,1105119,,,,,,,,,391,????,200,78200,1000,78200000,"????,???????,?????",30,???????,Not change,0,????????????????,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,??????,,,,,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,4,
11455,???,,,Thysanolaena maxima,,,605025,,,,,1,1,,,152,Kg,500,76000,5000,380000000,?????????????,30,????????,,70,???????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
5713,?????????,bamboo,,Indosasa sindica,???????,,605067,,,,,1,0,1,0,150,,500,75000,4000,300000000,"??????, ??????",61,?????????,Increase,30,????????????????????????????,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11406,???,,,Thysanolaena maxima,,,605024,,,,,1,1,1,,140,Kg,500,70000,5000,350000000,??????,30,????????,,50,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11415,???????,,,,,,605024,,,,,1,,,,70,Kg,1000,70000,300,21000000,???????????????,120,??????,,80,???????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11551,???????,,,,,,605012,,,,,1,,,1,68,Kg,1000,68000,4000,272000000,"??????????,?????????,?????",90,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
7434,?????????,bamboo,,Sinarundinaria microphylla,,,901100,,,,,1,,1,,135,????,500,67500,3500,236250000,?????,120,???????,Decrease,50,???????????.????????,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
8163,??????,,,Arenga westerhoutii,,,904995,,,,,1,1,1,,65,kg,1000,65000,4000,260000000,"?????????????,",90,????,,30,??????????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,????????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11491,???,,,Thysanolaena maxima,,,605021,,,,,1,1,,,127,Kg,500,63500,5000,317500000,"??????????,???????",60,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11495,???????,,,,,,605021,,,,,1,1,,1,127,Kg,500,63500,500,31750000,"??????????,???????",120,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
4064,??????????,duk deua,,Amorphophallus kerrii,??????,?????????,609095,??????????,Amorphophalus paeoniifolius (Dennstedt) Nicolson,??????????,????????,1,0,0,1,62,????,1000,62000,2000,0,??????,30,???????,Decrease,60,?????????,too much excavation,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,?????????,?????????,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9853,?????????,bamboo,,Indosasa sindica,,,701150,,,,,1,1,1,,193,kg,300,57900,3000,173700000,???????,120,??????,,5,?????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9626,???,,,Thysanolaena maxima,,,605045,,,,,1,1,,,188,kg,300,56400,7000,394800000,?????????,120,????,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
11413,????????,,,,,,605024,,,,,1,,,1,140,Kg,400,56000,700,39200000,?????????????,60,??????,,50,???????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11069,???????,,,,,,1309013,,,,,1,,1,,100,kg,500,50000,6000,300000000,"????????, ?????",20,???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"????????, ?????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
5875,??????????,duk deua,,Amorphophallus kerrii,??????,?????????,603021,,,,,1,0,0,0,100,????,500,50000,1800,90000000,?????????,20,??????,Decrease,50,????????????????????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,"????????,??????",,"????????,??????",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
9578,??????,,,,,,605047,,,,,1,,1,,246,kg,200,49200,15000,738000000,?????????,30,???????,,50,?????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9855,??????????,bamboo,,Phyllostachys sp.,,,701150,,,,,1,1,1,,193,kg,250,48250,4000,193000000,???????,120,??????,,0,???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
1537,????,,,Broussonetia papyrifera,"?????,?????????????",?????,609022,????,Broussonetia papyrifera (L.) Ventenat,????,????,1,0,0,0,90,????,500,45000,3000,135000000,"???????????,????",120,?????????,Increase,80,"?????????????,??",,,,,,1,135000000,,,,,,,,,,,,,,,,,,,,,1,?????????????,?????????????,?????????????,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,
134,??????,,???????,Arenga westerhoutii,??????????,,608013,??????,Arenga weterhoutii Griff.,??????,??????,1,0,1,0,217,????,200,43400,2000,86800000,??????,30,????????,Not change,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,1,?????????,?????????,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11411,?????????,bamboo,,Dendrocalamus hamiltonii,,,605024,,,,,1,,1,,140,Kg,300,42000,1000,42000000,???????,120,??????,,20,???????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
7448,??????????,,,Phyllanthus emblica L.,,,901100,,,,,1,,1,,137,????,300,41100,1000,41100000,?????????,20,???????,Decrease,50,?????????????????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,????????,,????????,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
9645,???????,,,,,,605045,,,,,1,,,,40,kg,1000,40000,1000,40000000,????????,30,???????,,30,???????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9750,?????????,,,,,,605046,,,,,1,,,,132,kg,300,39600,1000,39600000,??????,60,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
8251,??????,,,Arenga westerhoutii,,,904041,,,,,1,,1,,79,kg,500,39500,40000,1580000000,??????????,60,???????,,20,?????????????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,??????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9628,????,,,,,,605045,,,,,1,,,,188,kg,200,37600,3000,112800000,???????,30,????,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9633,?????,,,,,,605045,,,,,1,,1,,188,kg,200,37600,10000,376000000,??????,120,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9146,?????????,,,,,,207025,,,,,,,1,,70,kg,500,35000,,0,???????,180,????,,80,?????? ??? ???????????????????????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,??????,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
9145,???????????,,,Nephelium hypoleucum Kurz,,,207025,,,,,,,1,,70,kg,500,35000,,0,??????,3,????,,80,??????? ??? ???????????????????????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,?????,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
11237,?????,,,,,,707007,,,,,1,,1,,115,kg,300,34500,1500,51750000,"??????,???????",100,???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11552,???????,,,,,,605012,,,,,1,,,1,68,Kg,500,34000,7000,238000000,"??????????,?????????,?????",60,???????,,50,??????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11553,???,,,Thysanolaena maxima,,,605012,,,,,1,1,1,,68,Kg,500,34000,5000,170000000,"??????????,?????????,?????",60,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11554,?????????,bamboo,,Indosasa sindica,,,605012,,,,,1,,1,,68,Kg,500,34000,5000,170000000,"??????????,?????????,?????",60,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11555,??????,,,,,,605012,,,,,1,,1,,68,Kg,500,34000,3000,102000000,"??????????,?????????,?????",60,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
9353,???,,,Thysanolaena maxima,,,605058,,,,,1,,,,112,kg,300,33600,9000,302400000,?????????,10,?????????,,15,"?????????????,??????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"??????,??",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
5718,?????????,bamboo,??????,Dendrocalamus hamiltonii,????????,,605067,,,,,1,0,1,0,221,,150,33150,1000,33150000,??????????????,30,???????,Decrease,80,?????????????,diseases,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
132,?????????,,,Dendrocalamus hamiltonii,????????,,608013,??????,Dendrocalamus hamiltonii Nees & Arn. Ex Munro,??????,?????????,0,1,1,0,217,????,150,32550,,0,??????????,30,????????,Not change,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,1,?????????,?????????,?????????,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
5618,?????????,bamboo,,Indosasa sindica,???????,,605040,,,,,1,1,1,0,65,????,500,32500,3000,97500000,"????????,??????",120,???????,Decrease,0.2,??????????????????? ?????????????,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,????????,,????????,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
4052,???,,"(??????,??????,?????)",Thysanolaena maxima,??????????,?????????,609094,???,Thysanolaena latifolia,???,???,1,1,0,0,62,????,500,31000,5000,155000000,??????,60,???????,Decrease,60,"???, ??????????, ???????????????????????",sale a lot,,,,,,,,,,,,,1,155000000,,,,,,,,,,,,,1,??????,????????,?????????,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
4074,??????,,???????,Arenga westerhoutii,??????????,,609095,??????,Arenga weterhoutii Griff.,??????,??????,1,0,1,0,62,????,500,31000,3000,0,???????,60,???????,Decrease,30,????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,??????????,??????????,??????????,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
11129,????????????,bamboo,,Bambusa arundiana,,,1309112,,,,,1,1,1,,300,kg,100,30000,10000,300000000,"????????, ???????",20,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
5863,????,,,Broussonetia papyrifera,"?????,?????????????",?????,603018,,,,,1,0,0,0,96,????,300,28800,3500,100800000,"??????????,????????",90,?????????,Increase,15,???????????,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,????????,,????????,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
11405,???????,,,,,,605024,,,,,1,,1,,140,Kg,200,28000,50000,1400000000,???????,150,????????,,10,???????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11408,????,,,,,,605024,,,,,1,,,,140,Kg,200,28000,4000,112000000,??????,120,??????,,40,???????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
6413,?????????,,??????,Dendrocalamus bamiltonii,????????,,612011,,,,,1,1,1,0,140,???,200,28000,2000,56000000,???????,20,???????,Decrease,30,"?????????????,??????????",Clearance,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6606,?????????,bamboo,,Indosasa sindica,,,704002,,,,,1,0,1,0,93,????,300,27900,10000,279000000,"???????, ???????",70,????,Decrease,20,"?????????????, ??????????????????",,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,???????????,,???????????,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
10215,????????,,,,,,1501016,,,,,,1,,,137,?????,200,27400,0,0,?????????????,60,???????,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
7452,??????????,bamboo,,Indocalamus petelotii,,,901100,,,,,1,,1,,137,????,200,27400,4000,109600000,??????????????,,???????,Decrease,40,????????,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????????,,??????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,
7475,???????,,,Musa acuminata Colla,,,901011,,,,,1,1,,,33,???,800,26400,1000,26400000,????????.????????,,???????,Decrease,20,????????????,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,???????????????,,???????????????,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
11492,?????????,bamboo,,Indosasa sindica,,,605021,,,,,1,1,1,,127,Kg,200,25400,3000,76200000,"??????????,???????",60,???????,,50,??????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11493,?????????,bamboo,,Bambusa sp.,,,605021,,,,,1,1,1,,127,Kg,200,25400,3000,76200000,"??????????,???????",60,???????,,50,??????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
4478,??????,not sure bamboo,,Bambusa sp.,??????,,906002,??????,bamboo sp.,??????,??????,0,1,1,0,167,????,150,25050,,0,??????????,5,???????,Decrease,10,?????????????????,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,1,?????????,?????????,??????????,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,
9601,??????,,,,,,605047,,,,,1,,1,,246,kg,100,24600,1000,24600000,???????????,10,???????,,50,"????????????????,??????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9598,??????,,,,,,605047,,,,,1,,1,,246,kg,100,24600,2000,49200000,"??????,???????",20,???????,,50,"???????,???????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9597,???????????,,,,,,605047,,,,,1,,1,,246,kg,100,24600,,0,??????,20,???????,,50,??????????????????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
9599,??????,,,,,,605047,,,,,1,,1,,246,kg,100,24600,,0,"??????,???????",20,???????,,50,????????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
5745,?????????,,??????,Oxytenanthera parvifolia,????????,,605054,,,,,0,1,1,0,80,????,300,24000,,0,"????????, ?????????",30,???????,Not change,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11290,???,,,Thysanolaena maxima,,,605031,,,,,1,,1,,79,Kg,300,23700,5000,118500000,??????,30,????????,,50,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11660,?????????,bamboo,,Indosasa sindica,,,605002,,,,,1,,1,,58,Kg,400,23200,2000,46400000,???????????,90,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
1600,??????,,,Livistona saribus,??????????,,609024,??????,Livistona saribus,??????,??????,1,0,1,0,15,????,1500,22500,4000,90000000,???????????,,?????????,Increase,20,?????????????????????????,,,,,,1,90000000,,,,,,,,,,,,,,,,,,,,,1,?????? ????????????,"??????, ?????????","??????, ?????????",,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
5716,??????????,bamboo,,Phyllostachys sp.,??????????,,605067,,,,,1,0,1,0,150,,150,22500,3000,67500000,??????????,91,???????,Not change,100,"??????, ??????????",,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9854,?????????,bamboo,,Sinarundinaria sps,,,701150,,,,,1,1,1,,148,kg,150,22200,4000,88800000,???????,150,?? ????,,0,???????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
11132,?????????????,bamboo,,Bambusa blumeana,,,1309112,,,,,1,1,1,,220,kg,100,22000,10000,220000000,??????????,10,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,???????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
6691,???,,,Thysanolaena maxima,,,708059,,,,,1,0,0,0,73,????,300,21900,3000,65700000,"???????,????",90,??????,Increase,0,???????,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,?????????,,?????????,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,
6417,?????????,bamboo,,Indosasa sindica,???????,,612011,,,,,1,1,1,0,140,????,150,21000,5000,105000000,???????,30,???????,Decrease,60,"?????????????,??????????",Clearance,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
11339,???,,,Thysanolaena maxima,,,605015,,,,,1,1,,,42,Kg,500,21000,5000,105000000,????????,60,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
6415,?????????,,??????,Bambusa yulda,????????,,612011,,,,,0,1,1,0,140,???,150,21000,,0,??????????,30,???????,Decrease,50,"?????????????,??????????",Clearance,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6414,?????????,,??????,Oxytenanthera parvifolia,????????,,612011,,,,,1,1,1,0,140,???,150,21000,2000,42000000,???????,20,???????,Decrease,40,"?????????????,??????????",Clearance,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6423,???????????,,(????????),Schizostachyum blumei,???????,,612011,,,,,1,1,1,0,140,???,150,21000,2000,42000000,???????,60,???????,Decrease,70,"??????????,??????????",use too much,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,??????,,??????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
536,???????,,,Russula sp.,???????,,608053,???????,Russula sp.,???????,???????,1,0,1,0,210,????,100,21000,8000,168000000,?????????,,????????,Not change,0,????????????????????,,,,,,,,,,,,,,,,,,,,,,,,1,168000000,,,1,"????????????,?????????????","???????????, ????????????",?????????????-???,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,2,
11139,????????,,,,,,1309112,,,,,1,,1,,300,kg,70,21000,5000,105000000,??????,20,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11407,??????????,,,,,,605024,,,,,1,,,,140,Kg,150,21000,6000,126000000,??????,30,???????,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
3794,??????,,???????,Arenga westerhoutii,??????????,,609085,??????,Arenga weterhoutii Griff.,??????,??????,1,1,0,0,103,????,200,20600,3000,0,"???????, ???????",120,????????,Not change,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,????????????,????????????,????????????,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,
11572,???????????,bamboo,,Schizostachyum blumei,,,605012,,,,,,,1,,68,Kg,300,20400,,0,"??????????,?????????,?????",90,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11573,??????????,bamboo,,Gigantochloa parviflora,,,605012,,,,,,,1,,68,Kg,300,20400,,0,"??????????,?????????,?????",90,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11557,?????????,bamboo,,Bambusa sp.,,,605012,,,,,1,,1,,68,Kg,300,20400,3000,61200000,"??????????,?????????,?????",90,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11556,?????????,bamboo,,Sinarundinaria microphylla,,,605012,,,,,1,,1,,68,Kg,300,20400,3000,61200000,"??????????,?????????,?????",90,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11134,?????????,,,,,,1309112,,,,,1,,1,,200,kg,100,20000,10000,200000000,??????,15,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11130,????????????,not sure bamboo,,,,,1309112,,,,,1,1,1,,200,kg,100,20000,15000,300000000,?????,10,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,???????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
11141,??????????,bamboo,,Phyllostachys sp.,,,1309112,,,,,1,1,1,,200,kg,100,20000,5000,100000000,"????????, ???????",20,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
