ID,NTFP_Cleaned,SpecialNTFP,other lao names,Scientific_Name_Cleaned,Hmong,Khamu,Vil_Code,Type_la_030413,Scientific_Name_030413,Cleaned NTFP type polished round 2,Sounthone _chris 30 March,sell,use,food,medicin,No_HH,Unit,Qty_per_HH,Qty_All,Price_per_Unit,Price_All,Location_gathered_la,Time_Travel,Status_la,Status_en,Status_%,Reason_la,Reason_en,Palm,Palm1,Rattan,Rattan1,Trees,Trees1,Herb,Herb1,Shrubs,Shrubs1,Climber_Vine,Climber_Vine1,Monocot,Monocot1,Fungi,Fungi1,Tuber_limber,Tuber_limber1,Insects,Insects1,Orchid,Orchid1,Mushroom,Mushroom1,Fern,Fern1,Check_Type,Forest_Type_la,Forest_Type_CF,Forest_Type2,not a forest type,not spec'd or classed,forest in general,Dense forest,Dense moist  forest,strem source f,cool moist F,Pah Khok,pine,pine mixed,riverine forest,beside stream,stream,mixed forest,chest nut,Bamboo,Pah Khang (mainly grass'd),grassland,bush fallow gen'l,Old bush fallow,Young bush fallow,upland field,paddy,wet land,Banana forest,termite soil,tree stumps,cliff,clifftop,Other specific nisches,Check_Forest,LastUpdated
4062,????????????,,,Ficus racemosa,???????,,609095,????????????,Ficus racemosa L.,????????????,????????????,0,0,1,0,62,????,10,620,,0,??????,20,????????,Not change,0,??????????,not change,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,??????????,??????????,??????????,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
4056,???????,,,Termitomyces sp.,????????,,609095,???????,Termitomyces schimperi,???????,???????,0,0,1,0,62,????,10,620,,0,????????,30,????????,Not change,0,??????????,not change,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,?????????????,?????????????,???????????,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
4057,????????,,,Calamus gracilis,???????????,???????,609095,????????,Calamus gracilis,,????????,0,1,1,0,62,????,10,620,,0,??????????,90,???????,Decrease,30,?????????,eat too much,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,??????,??????,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
4041,???,,,Alpinia sp.,??????,,609094,??????,Alpinia malaccensis,??????,??????,1,0,1,1,62,????,10,620,2000,1240000,?????????,120,???????,Decrease,50,"???????????,???????,?????????????????????????",,,,,,,,,,,,,,1,1240000,,,,,,,,,,,,,1,???,??????,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
6771,?????????,bamboo,,Dendrocalamus hamiltonii,,,708054,,,,,1,0,1,0,31,????,20,620,1000,620000,???????????,120,????,Decrease,10,?????????????,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,?????????????,,?????????????,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,
4017,???????,,,Cantharellus cibarius,??????,,609094,???????,Cantharellus sp.,???????,???????,0,0,1,0,62,????,10,620,,0,?????????,30,????????,Not change,0,0,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,"???, ???","??????, ??????","??????, ??????",,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,
2351,?????????,,,Amanita citrine,???????,,609046,?????????,Amanita sp.,?????????,?????????,1,0,1,0,62,????,10,620,15000,9300000,??????,30,???????,Decrease,50,???????????? ?????????? ??? ??????????????????,,,,,,,,,,,,,,,,,,,,,,,,1,9300000,,,1,"???????, ??????","???????, ??????","???????, ??????",,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,
3759,???????,,,,???????,????????,609085,???????,,???????,???????,0,0,1,0,103,????,6,618,,0,?????,120,????????,Not change,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,??????,??????,??????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
8854,???,,,Alpinia sp.,,,902072,,,,,1,,1,,41,,15,615,5000,3075000,?????????,90,???????,,30,????????????????,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,??????,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
11285,?????????,bamboo,,Indosasa sindica,,,707005,,,,,,,1,,61,kg,10,610,,0,???????,100,????????,,50,????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-Jun-16
8862,????????,,,Russula densifolia,,,902116,,,,,,,1,,76,kg,8,608,,0,"?????, ?????????????,???????",30,??????,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,??????,,,,,1,,,,,1,1,1,1,,,1,1,1,,,,,,,,,,,,,,,8,
8886,??????,,,,,,902116,,,,,,,1,,76,kg,8,608,,0,?????,30,??????,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,??????,,,,,1,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,4,
245,?????????,,??????,Bambusa yulda,????????,,608035,?????????,Bambusa tulda Roxb.,?????????,?????????,1,0,1,0,101,????,6,606,1000,606000,???????,,????????,Not change,0,,,,,,,,,,,,,,,1,5050000,,,,,,,,,,,,,1,????????,????????,????????,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,
4496,???????,,,,???????,????????,906002,???????,,???????,???????,0,0,1,0,121,????,5,605,,0,??????,20,????????,Not change,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,?????????,?????????,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
4477,???,,"(??????,??????,?????)",Thysanolaena maxima,??????????,?????????,906002,???,Thysanolaena latifolia,???,???,0,1,0,0,121,????,5,605,,0,?????????,5,?????????,Increase,,?????????????,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,1,?????????,?????????,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
4472,????????,,,Auricularia polytricha,????????,,906002,????????,Auricularis polytricha (Montagne),????????,????????,0,0,1,0,121,????,5,605,,0,??????,10,????????,Not change,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,1,?????????,?????????,?????????,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
4445,?????????,,"(????????,?????)",Smilax glabra,?????????,,906002,????????,Phoenix acaulis,????????,????????,0,0,1,0,121,????,5,605,,0,??????,30,???????,Decrease,60,??????????,use too much,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,??????,??????,??????,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
5972,??????????,,,Dendrobium chryseum,????????,,611058,,,,,1,0,0,0,30,????,20,600,1000,600000,????????,60,???????,Decrease,50,???????????????,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,??????,,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
