Vil_Code,Scientific_Name_Cleaned,Scientific_Genus_GB,sell,use,food,medicine,Qty_p_HH,Qty,Forest,Riparian,bamboo,bush_fallow,upland_field,others,PCODE,Pname,DCODE,Dname,KCODE,Kname,Vil_Name
207002,Asparagus acerosus,Shrubs,1,0,1,0,10,200,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Calamus sp.,Peas,1,1,1,0,50,250,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Dendrobium capillipes,Orchids,1,0,0,1,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207002,Termitomyces indicus,Mushroom/Funghi,1,0,1,0,5,30,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Boun tay
207003,Calamus sp.,Peas,0,0,1,0,2,4,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Piper sarmentosum,Vines,1,0,1,0,0.5,75,0,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Sinarundinaria microphylla,Bamboo,0,0,1,0,20,2000,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Dendrocalamus hamiltonii,Bamboo,0,0,1,0,5,15,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Indosasa sinica,Bamboo,0,0,1,0,20,2000,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,NA,,1,0,0,0,10,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Markhamia stipulata,Trees,0,0,1,0,5,350,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Calamus sp.,Peas,1,0,1,0,30,4500,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Russula densifolia,Mushroom/Funghi,0,0,1,0,10,100,1,1,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Mangifera sp.,Trees,0,0,1,0,3,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Centella asiatica,Herbs,1,0,1,0,3,150,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Dillenia indica,Trees,0,0,1,0,2,120,1,0,1,1,0,1,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Calamus sp.,Peas,0,1,0,0,10,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Gmelina arborea,Tree/Shrub,0,0,1,0,0.5,15,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Castanopsis sp.,Trees,0,0,1,0,3,150,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Amorphophallus paeoniifolius,Herbs,0,0,1,0,5,100,1,0,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Russula rosacea,Mushroom/Funghi,0,0,1,0,1,5,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Dimocarpus longan,Trees,0,0,1,0,0.5,2.5,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Radermachera ignea,Trees,0,0,1,0,1,100,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Diplazium esculentum,Fern,1,0,1,0,3,30,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Thysanolaena latifolia,Grass,1,0,0,0,100,3000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Alpinia galanga,Legume,0,0,1,0,1,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,NA,,0,0,1,0,0.5,2.5,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Canarium pinnata,Trees,1,0,1,0,20,1000,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Anoectochilus lylei,Orchids,1,0,0,0,0.5,25,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Phyllanthus emblica,Tree/Shrub,0,0,1,0,1,5,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Termitomyces indicus,Mushroom/Funghi,1,0,1,0,5,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Tinospora sinensis,Vines,0,0,0,1,5,25,1,0,0,1,1,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Spondias pinnata,Trees,0,0,1,0,0.5,3.5,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Protium serratum,Trees,1,0,1,0,2,160,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207003,Amomum villosum,Cardamom,1,0,0,0,10,2050,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Na wy
207008,Alpinia galanga,Legume,1,0,0,0,5,325,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Averrhoa carambola,Tree/Shrub,0,1,0,0,3,195,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Radermachera ignea,Trees,0,0,1,0,1,30,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Canarium pinnata,Trees,0,0,1,0,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
