Vil_Code,Vil_Name,Taxon,all,forest,riparian,bamboo,bushfallow,uplandfield,others,Contrl,perc_forest,perc_ripar,perc_bamb,perc_bushf,perc_uplf,perc_oth
609060,B. Pakleung,,0,1,0,0,1,0,0,2,50,0,0,50,0,0
609060,B. Pakleung,Cardamom,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609060,B. Pakleung,Grass,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609060,B. Pakleung,Herbs,0,0,0,0,1,0,3,4,0,0,0,25,0,75
609060,B. Pakleung,Legume,0,0,0,0,1,0,0,1,0,0,0,100,0,0
609060,B. Pakleung,Orchids,0,0,0,0,1,0,0,1,0,0,0,100,0,0
609060,B. Pakleung,Resin,0,1,0,0,0,0,1,2,50,0,0,0,0,50
609060,B. Pakleung,Rhizomes,0,0,0,0,1,0,0,1,0,0,0,100,0,0
609060,B. Pakleung,Vines,0,0,0,0,2,0,1,3,0,0,0,66.6666666666667,0,33.3333333333333
609059,B. Chantai,Mushroom/Funghi,4620,18,0,0,13,0,5,36,50,0,0,36.1111111111111,0,13.8888888888889
609059,B. Chantai,Trees,1925,9,2,0,0,0,1,12,75,16.6666666666667,0,0,0,8.33333333333333
609059,B. Chantai,Grass,770,0,1,0,0,0,1,2,0,50,0,0,0,50
609059,B. Chantai,Tree/Shrub,635,6,1,0,1,0,0,8,75,12.5,0,12.5,0,0
609059,B. Chantai,,154,1,0,0,0,0,1,2,50,0,0,0,0,50
609059,B. Chantai,Aquatic plants,0,0,1,0,0,0,0,1,0,100,0,0,0,0
609059,B. Chantai,Herbs,0,1,1,0,4,0,0,6,16.6666666666667,16.6666666666667,0,66.6666666666667,0,0
609059,B. Chantai,Legume,0,3,0,0,0,0,0,3,100,0,0,0,0,0
609059,B. Chantai,Orchids,0,2,0,0,1,0,0,3,66.6666666666667,0,0,33.3333333333333,0,0
609059,B. Chantai,Rhizomes,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609059,B. Chantai,Shrubs,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609059,B. Chantai,Vines,0,4,0,0,1,0,0,5,80,0,0,20,0,0
609058,B. Channeua,Bamboo,7500,0,0,0,2,0,0,2,0,0,0,100,0,0
609058,B. Channeua,Mushroom/Funghi,1410,27,0,0,0,0,0,27,100,0,0,0,0,0
609058,B. Channeua,,75,2,0,0,0,0,0,2,100,0,0,0,0,0
609058,B. Channeua,Fern,0,0,1,0,1,0,0,2,0,50,0,50,0,0
609058,B. Channeua,Herbs,0,0,1,0,1,0,0,2,0,50,0,50,0,0
609058,B. Channeua,Legume,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609058,B. Channeua,Peas,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609058,B. Channeua,Tree/Shrub,0,5,1,0,1,0,0,7,71.4285714285714,14.2857142857143,0,14.2857142857143,0,0
609058,B. Channeua,Trees,0,5,0,0,1,0,0,6,83.3333333333333,0,0,16.6666666666667,0,0
609058,B. Channeua,Vines,0,3,1,0,1,0,0,5,60,20,0,20,0,0
609056,B. Bouamxieng,Tree/Shrub,5040,4,1,0,1,0,0,6,66.6666666666667,16.6666666666667,0,16.6666666666667,0,0
609056,B. Bouamxieng,Vines,3584,4,3,0,0,0,1,8,50,37.5,0,0,0,12.5
609056,B. Bouamxieng,Trees,3444,5,1,0,2,0,0,8,62.5,12.5,0,25,0,0
609056,B. Bouamxieng,Mushroom/Funghi,3208,10,0,2,6,0,0,18,55.5555555555556,0,11.1111111111111,33.3333333333333,0,0
609056,B. Bouamxieng,Bamboo,2980,0,0,3,0,0,0,3,0,0,100,0,0,0
609056,B. Bouamxieng,Orchids,1380,2,0,0,1,0,2,5,40,0,0,20,0,40
609056,B. Bouamxieng,Herbs,1296,1,1,0,0,2,1,5,20,20,0,0,40,20
609056,B. Bouamxieng,Grass,400,0,0,0,1,0,0,1,0,0,0,100,0,0
609056,B. Bouamxieng,Shrubs,400,0,1,0,0,0,0,1,0,100,0,0,0,0
609056,B. Bouamxieng,Legume,200,1,0,0,0,0,1,2,50,0,0,0,0,50
609056,B. Bouamxieng,Bees,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609056,B. Bouamxieng,Cardamom,0,1,0,0,0,0,0,1,100,0,0,0,0,0
609055,B. Bouamlao,Mushroom/Funghi,8983,16,0,3,9,0,15,43,37.2093023255814,0,6.97674418604651,20.9302325581395,0,34.8837209302326
609055,B. Bouamlao,Bamboo,7200,1,3,1,0,0,0,5,20,60,20,0,0,0
609055,B. Bouamlao,,3096,2,1,0,3,0,0,6,33.3333333333333,16.6666666666667,0,50,0,0
609055,B. Bouamlao,Herbs,1656,3,1,0,0,0,0,4,75,25,0,0,0,0
609055,B. Bouamlao,Tree/Shrub,1580,2,1,0,0,0,0,3,66.6666666666667,33.3333333333333,0,0,0,0
609055,B. Bouamlao,Vines,1440,2,1,0,0,0,0,3,66.6666666666667,33.3333333333333,0,0,0,0
609055,B. Bouamlao,Trees,886,3,0,0,0,0,1,4,75,0,0,0,0,25
609055,B. Bouamlao,Legume,50,0,1,0,0,0,0,1,0,100,0,0,0,0
609055,B. Bouamlao,Grass,4.5,0,1,0,0,0,0,1,0,100,0,0,0,0
609055,B. Bouamlao,Orchids,0,8,0,0,0,0,0,8,100,0,0,0,0,0
609053,B. Thapho,Mushroom/Funghi,1092,18,0,0,17,0,0,35,51.4285714285714,0,0,48.5714285714286,0,0
609053,B. Thapho,Trees,100,7,0,0,0,0,1,8,87.5,0,0,0,0,12.5
609053,B. Thapho,,0,2,0,0,2,0,0,4,50,0,0,50,0,0
609053,B. Thapho,Herbs,0,1,0,0,0,0,3,4,25,0,0,0,0,75
609053,B. Thapho,Orchids,0,5,0,0,0,0,0,5,100,0,0,0,0,0
609053,B. Thapho,Tree/Shrub,0,5,0,0,0,0,0,5,100,0,0,0,0,0
609053,B. Thapho,Vines,0,2,0,0,0,0,0,2,100,0,0,0,0,0
609051,B. Xiengmain,Tree/Shrub,8918,9,1,0,0,0,0,10,90,10,0,0,0,0
609051,B. Xiengmain,Bamboo,6900,0,0,3,0,0,0,3,0,0,100,0,0,0
609051,B. Xiengmain,Mushroom/Funghi,2740.5,10,0,1,5,0,4,20,50,0,5,25,0,20
609051,B. Xiengmain,Grass,1660,1,1,0,0,0,0,2,50,50,0,0,0,0
609051,B. Xiengmain,Trees,1035,4,0,0,0,0,0,4,100,0,0,0,0,0
609051,B. Xiengmain,Orchids,450,5,0,0,0,0,0,5,100,0,0,0,0,0
609051,B. Xiengmain,Shrubs,450,1,0,0,0,0,0,1,100,0,0,0,0,0
609051,B. Xiengmain,Herbs,395,3,2,0,0,0,0,5,60,40,0,0,0,0
609051,B. Xiengmain,Vines,310,2,1,0,0,0,1,4,50,25,0,0,0,25
609051,B. Xiengmain,Legume,200,0,1,0,0,0,0,1,0,100,0,0,0,0
609051,B. Xiengmain,,30,1,0,0,0,0,0,1,100,0,0,0,0,0
609051,B. Xiengmain,Liana,25,2,2,0,0,0,0,4,50,50,0,0,0,0
609050,B. Nakham,Bamboo,18500,3,0,0,0,0,0,3,100,0,0,0,0,0
609050,B. Nakham,Mushroom/Funghi,5082.5,20,0,3,3,2,2,30,66.6666666666667,0,10,10,6.66666666666667,6.66666666666667
609050,B. Nakham,Orchids,4610,7,0,0,6,0,6,19,36.8421052631579,0,0,31.5789473684211,0,31.5789473684211
609050,B. Nakham,Trees,2356,3,1,0,1,0,0,5,60,20,0,20,0,0
609050,B. Nakham,Bees,2010,3,0,0,0,0,0,3,100,0,0,0,0,0
609050,B. Nakham,Tree/Shrub,1850,1,0,0,2,0,0,3,33.3333333333333,0,0,66.6666666666667,0,0
609050,B. Nakham,Hornet,260,1,0,0,1,0,0,2,50,0,0,50,0,0
609050,B. Nakham,Shrubs,250,1,0,0,0,0,0,1,100,0,0,0,0,0
