Vil_Code,PCODE,Pname,DCODE,Dname,Vil_Name,Scientific_Name_Cleaned,Qty_All
603018,6,Louangphabang,603,Nan,B. fayyouak,Alpinia sp.,480
603018,6,Louangphabang,603,Nan,B. fayyouak,Schizophyllum commune,480
603021,6,Louangphabang,603,Nan,B. Phaneep,Amorphophallus kerrii,50000
603021,6,Louangphabang,603,Nan,B. Phaneep,Broussonetia papyrifera,5000
603021,6,Louangphabang,603,Nan,B. Phaneep,Dendrobium dixanthum,3000
603021,6,Louangphabang,603,Nan,B. Phaneep,Kaempferia sp.,3000
603021,6,Louangphabang,603,Nan,B. Phaneep,Thysanolaena maxima,3000
603021,6,Louangphabang,603,Nan,B. Phaneep,Amomum sp.,2000
603021,6,Louangphabang,603,Nan,B. Phaneep,Baccaurea ramiflora,2000
603021,6,Louangphabang,603,Nan,B. Phaneep,Draceana sp.,1500
603021,6,Louangphabang,603,Nan,B. Phaneep,Melientha suavis,1000
603021,6,Louangphabang,603,Nan,B. Phaneep,Spondias pinnata,1000
605002,6,Louangphabang,605,Nambak,B. Phathong,Indosasa sindica,23200
605002,6,Louangphabang,605,Nambak,B. Phathong,Bambusa sp.,17400
605002,6,Louangphabang,605,Nambak,B. Phathong,,17400
605002,6,Louangphabang,605,Nambak,B. Phathong,,11600
605002,6,Louangphabang,605,Nambak,B. Phathong,,11600
605002,6,Louangphabang,605,Nambak,B. Phathong,Thysanolaena maxima,11600
605002,6,Louangphabang,605,Nambak,B. Phathong,,5800
605002,6,Louangphabang,605,Nambak,B. Phathong,,2900
605002,6,Louangphabang,605,Nambak,B. Phathong,,1740
605002,6,Louangphabang,605,Nambak,B. Phathong,Styrax tonkinensis,1740
605012,6,Louangphabang,605,Nambak,B. Lankang,,68000
605012,6,Louangphabang,605,Nambak,B. Lankang,Indosasa sindica,34000
605012,6,Louangphabang,605,Nambak,B. Lankang,,34000
605012,6,Louangphabang,605,Nambak,B. Lankang,,34000
605012,6,Louangphabang,605,Nambak,B. Lankang,Thysanolaena maxima,34000
605012,6,Louangphabang,605,Nambak,B. Lankang,Gigantochloa parviflora,20400
605012,6,Louangphabang,605,Nambak,B. Lankang,Bambusa sp.,20400
605012,6,Louangphabang,605,Nambak,B. Lankang,Sinarundinaria microphylla,20400
605012,6,Louangphabang,605,Nambak,B. Lankang,Schizostachyum blumei,20400
605012,6,Louangphabang,605,Nambak,B. Lankang,Phyllostachys sp.,13600
605015,6,Louangphabang,605,Nambak,Bouam,Thysanolaena maxima,21000
605015,6,Louangphabang,605,Nambak,Bouam,,8400
605015,6,Louangphabang,605,Nambak,Bouam,Indosasa sindica,4200
605015,6,Louangphabang,605,Nambak,Bouam,,840
605015,6,Louangphabang,605,Nambak,Bouam,Schizostachyum blumei,420
605015,6,Louangphabang,605,Nambak,Bouam,,420
605015,6,Louangphabang,605,Nambak,Bouam,Bambusa sp.,420
605015,6,Louangphabang,605,Nambak,Bouam,Sinarundinaria sps,420
605015,6,Louangphabang,605,Nambak,Bouam,,420
605015,6,Louangphabang,605,Nambak,Bouam,Phyllostachys sp.,420
605021,6,Louangphabang,605,Nambak,B. kingkang,,63500
605021,6,Louangphabang,605,Nambak,B. kingkang,Thysanolaena maxima,63500
605021,6,Louangphabang,605,Nambak,B. kingkang,Indosasa sindica,25400
605021,6,Louangphabang,605,Nambak,B. kingkang,Bambusa sp.,25400
605021,6,Louangphabang,605,Nambak,B. kingkang,,12700
605021,6,Louangphabang,605,Nambak,B. kingkang,,7000
605021,6,Louangphabang,605,Nambak,B. kingkang,,3810
605021,6,Louangphabang,605,Nambak,B. kingkang,,2540
605021,6,Louangphabang,605,Nambak,B. kingkang,Dendrocalamus hamiltonii,2540
605021,6,Louangphabang,605,Nambak,B. kingkang,Schizostachyum blumei,1270
605023,6,Louangphabang,605,Nambak,B. Parkkan,Thysanolaena maxima,10400
605023,6,Louangphabang,605,Nambak,B. Parkkan,,10000
605023,6,Louangphabang,605,Nambak,B. Parkkan,Dendrocalamus hamiltonii,5200
605023,6,Louangphabang,605,Nambak,B. Parkkan,Gigantochloa parviflora,5200
605023,6,Louangphabang,605,Nambak,B. Parkkan,Schizostachyum blumei,5200
605023,6,Louangphabang,605,Nambak,B. Parkkan,Indosasa sindica,5200
605023,6,Louangphabang,605,Nambak,B. Parkkan,Bambusa sp.,5200
605023,6,Louangphabang,605,Nambak,B. Parkkan,,5200
605023,6,Louangphabang,605,Nambak,B. Parkkan,,5200
605023,6,Louangphabang,605,Nambak,B. Parkkan,Phyllostachys sp.,3120
605024,6,Louangphabang,605,Nambak,B. Kanloum,,70000
605024,6,Louangphabang,605,Nambak,B. Kanloum,Thysanolaena maxima,70000
605024,6,Louangphabang,605,Nambak,B. Kanloum,,56000
605024,6,Louangphabang,605,Nambak,B. Kanloum,Dendrocalamus hamiltonii,42000
605024,6,Louangphabang,605,Nambak,B. Kanloum,,28000
605024,6,Louangphabang,605,Nambak,B. Kanloum,,28000
605024,6,Louangphabang,605,Nambak,B. Kanloum,,21000
605024,6,Louangphabang,605,Nambak,B. Kanloum,,14000
605024,6,Louangphabang,605,Nambak,B. Kanloum,Schizostachyum blumei,7000
605024,6,Louangphabang,605,Nambak,B. Kanloum,Indosasa sindica,7000
605025,6,Louangphabang,605,Nambak,B. Kantheung,,102000
605025,6,Louangphabang,605,Nambak,B. Kantheung,Thysanolaena maxima,76000
605025,6,Louangphabang,605,Nambak,B. Kantheung,,19500
605025,6,Louangphabang,605,Nambak,B. Kantheung,Bambusa sp.,15200
605025,6,Louangphabang,605,Nambak,B. Kantheung,,12000
605025,6,Louangphabang,605,Nambak,B. Kantheung,Amomum villosum,7600
605025,6,Louangphabang,605,Nambak,B. Kantheung,Phyllostachys sp.,7600
605025,6,Louangphabang,605,Nambak,B. Kantheung,,7600
605025,6,Louangphabang,605,Nambak,B. Kantheung,,6080
605025,6,Louangphabang,605,Nambak,B. Kantheung,,5000
605031,6,Louangphabang,605,Nambak,B. Douantay,Thysanolaena maxima,23700
605031,6,Louangphabang,605,Nambak,B. Douantay,,15800
605031,6,Louangphabang,605,Nambak,B. Douantay,,15800
605031,6,Louangphabang,605,Nambak,B. Douantay,,11850
605031,6,Louangphabang,605,Nambak,B. Douantay,Gigantochloa parviflora,3950
605031,6,Louangphabang,605,Nambak,B. Douantay,Indosasa sindica,3950
605031,6,Louangphabang,605,Nambak,B. Douantay,,3950
605031,6,Louangphabang,605,Nambak,B. Douantay,Bambusa sp.,3950
605031,6,Louangphabang,605,Nambak,B. Douantay,,3950
605031,6,Louangphabang,605,Nambak,B. Douantay,,3950
605034,6,Louangphabang,605,Nambak,B. Pungjong,Thysanolaena maxima,2950
605034,6,Louangphabang,605,Nambak,B. Pungjong,,590
605034,6,Louangphabang,605,Nambak,B. Pungjong,Gigantochloa parviflora,590
605034,6,Louangphabang,605,Nambak,B. Pungjong,Dendrocalamus hamiltonii,590
605034,6,Louangphabang,605,Nambak,B. Pungjong,,590
605034,6,Louangphabang,605,Nambak,B. Pungjong,Dendrocalamus brandisii,590
605034,6,Louangphabang,605,Nambak,B. Pungjong,,590
605034,6,Louangphabang,605,Nambak,B. Pungjong,,295
605034,6,Louangphabang,605,Nambak,B. Pungjong,,295
605034,6,Louangphabang,605,Nambak,B. Pungjong,,295
605040,6,Louangphabang,605,Nambak,B. Yalo,Indosasa sindica,32500
605040,6,Louangphabang,605,Nambak,B. Yalo,Phyllostachys sp.,13000
605040,6,Louangphabang,605,Nambak,B. Yalo,Smilax glabra,6500
605040,6,Louangphabang,605,Nambak,B. Yalo,Diplazium esculentum,1950
605040,6,Louangphabang,605,Nambak,B. Yalo,Citrus maxima,1950
605040,6,Louangphabang,605,Nambak,B. Yalo,Alpinia mutica Roxb.,1040
605040,6,Louangphabang,605,Nambak,B. Yalo,Flickingeria fimbriata,650
605040,6,Louangphabang,605,Nambak,B. Yalo,Amorphophallus kerrii,650
605040,6,Louangphabang,605,Nambak,B. Yalo,Sinarundinaria microphylla,650
605040,6,Louangphabang,605,Nambak,B. Yalo,Boehmeria sp,650
605045,6,Louangphabang,605,Nambak,B. Houaykong,Indosasa sindica,188000
605045,6,Louangphabang,605,Nambak,B. Houaykong,Bambusa sp.,188000
605045,6,Louangphabang,605,Nambak,B. Houaykong,Thysanolaena maxima,56400
605045,6,Louangphabang,605,Nambak,B. Houaykong,,40000
605045,6,Louangphabang,605,Nambak,B. Houaykong,,37600
605045,6,Louangphabang,605,Nambak,B. Houaykong,,37600
605045,6,Louangphabang,605,Nambak,B. Houaykong,,18800
605045,6,Louangphabang,605,Nambak,B. Houaykong,,9400
605045,6,Louangphabang,605,Nambak,B. Houaykong,,5640
605045,6,Louangphabang,605,Nambak,B. Houaykong,,3760
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,,39600
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,,15000
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,Thysanolaena maxima,13200
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,,13200
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,,7920
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,,6600
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,,6000
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,Indosasa sindica,5280
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,Dendrocalamus hamiltonii,3960
605046,6,Louangphabang,605,Nambak,B. Vienghinsung,Bambusa sp.,3960
605047,6,Louangphabang,605,Nambak,B. Namay,,123000
605047,6,Louangphabang,605,Nambak,B. Namay,,49200
605047,6,Louangphabang,605,Nambak,B. Namay,,24600
605047,6,Louangphabang,605,Nambak,B. Namay,,24600
605047,6,Louangphabang,605,Nambak,B. Namay,,24600
605047,6,Louangphabang,605,Nambak,B. Namay,,24600
605047,6,Louangphabang,605,Nambak,B. Namay,,19680
605047,6,Louangphabang,605,Nambak,B. Namay,Gigantochloa parviflora,19680
605047,6,Louangphabang,605,Nambak,B. Namay,,19680
605047,6,Louangphabang,605,Nambak,B. Namay,Schizostachyum blumei,14760
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,Bambusa sp.,20000
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,Indosasa sindica,10000
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,Thysanolaena maxima,10000
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,,2500
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,,2000
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,,1000
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,,1000
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,,625
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,,600
605053,6,Louangphabang,605,Nambak,B. Houayheedloum,,600
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Oxytenanthera parvifolia,24000
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Diplazium esculentum,12000
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Indosasa sindica,12000
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Broussonetia papyrifera,12000
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Russula densifolia,9200
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Melanoleuca alboflavida,9200
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Termitomyces sp.,9200
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Russula sp.,9200
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,,9200
605054,6,Louangphabang,605,Nambak,B. Nagnangnuea,Termitomyces striatus (Beeli) R. Heim,9200
605056,6,Louangphabang,605,Nambak,B. Houayhar,Schizostachyum blumei,3700
605056,6,Louangphabang,605,Nambak,B. Houayhar,Gigantochloa parviflora,3700
605056,6,Louangphabang,605,Nambak,B. Houayhar,,2220
605056,6,Louangphabang,605,Nambak,B. Houayhar,,2220
605056,6,Louangphabang,605,Nambak,B. Houayhar,Bambusa sp.,2220
605056,6,Louangphabang,605,Nambak,B. Houayhar,,1480
605056,6,Louangphabang,605,Nambak,B. Houayhar,,1480
