ID,Scientific_Name_Cleaned,Scientific_Genus,Scientific_Genus_GB,Vil_Code,sell,use,food,medicine,CHECK,Qty_sell,Qty_use,Qty_food,Qty_med,Inc_sell,Inc_use,Inc_food,Inc_medicine,No_HH,Unit,Qty_p_HH,Qty,PPU_LAK,PPU_USD,Income_USD,Time_Travel,Status_en,Status_rel,Status_abs,Reason_en,Forest,Riparian,bamboo,bush_fallow,upland_field,others,CHECK_2,Qty_For,Qty_Rip,Qty_Bam,Qty_Bfa,Qty_UpF,Qty_Oth,Inc_For,Inc_Rip,Inc_Bam,Inc_Bfa,Inc_UpF,Inc_Oth,For_sell_inc,For_use_inc,For_food_inc,For_med_inc,Rip_sell_inc,Rip_use_inc,Rip_food_inc,Rip_med_inc,bam_sell_inc,Bam_use_inc,Bam_food_inc,Bam_med_inc,Bfa_sell_inc,Bfa_use_inc,Bfa_food_inc,Bfa_med_inc,UpF_sell_inc,UpF_use_inc,UpF_food_inc,UpF_med_inc,Oth_sell_inc,Oth_use_inc,Oth_food_inc,Oth_med_inc
2288,Worm of spondias cytherea,Worm,Worms,609044,0,0,1,0,1,0,0,620,0,0,0,0,0,62,????,10,620,0,0,0,60,Decrease,50,-50,NA,0,0,1,0,0,0,1,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2967,Worm of spondias cytherea,Worm,Worms,609064,1,0,1,0,2,25,0,25,0,0,0,0,0,10,????,5,50,0,0,0,60,Decrease,50,-50,NA,1,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3315,Worm of spondias cytherea,Worm,Worms,609074,0,0,1,0,1,0,0,20,0,0,0,0,0,10,????,2,20,0,0,0,180,Stable,0,0,NA,1,0,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3525,Worm of spondias cytherea,Worm,Worms,609078,1,0,1,0,2,37.5,0,37.5,0,234.375,0,234.375,0,15,????,5,75,50000,6.25,468.75,60,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,75,0,0,0,0,0,468.8,0,0,0,0,0,0,0,0,0,0,0,234.4,0,234.4,0,0,0,0,0,0,0,0,0,0,0,0,0
3582,Worm of spondias cytherea,Worm,Worms,609080,0,1,1,0,2,0,7.5,7.5,0,0,28.125,28.125,0,5,????,3,15,30000,3.75,56.25,60,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,15,0,0,0,0,0,56.3,0,0,0,0,0,0,0,0,0,0,0,0,28.15,28.15,0,0,0,0,0,0,0,0,0,0,0,0,0
4027,Worm of spondias cytherea,Worm,Worms,609094,0,0,1,0,1,0,0,6,0,0,0,0,0,3,????,2,6,0,0,0,180,Decrease,30,-30,NA,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4130,Worm of spondias cytherea,Worm,Worms,609096,0,0,0,0,0,0,0,0,0,0,0,0,0,22,????,5,110,60000,7.5,825,30,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,110,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4189,Worm of spondias cytherea,Worm,Worms,609098,0,0,1,0,1,0,0,1.5,0,0,0,0,0,3,????,0.5,1.5,0,0,0,30,Decrease,50,-50,NA,0,0,1,0,0,0,1,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5299,Worm of spondias cytherea,Worm,Worms,906012,1,1,0,0,2,147.5,147.5,0,0,460.9375,460.9375,0,0,59,????,5,295,25000,3.125,921.875,0,Stable,0,0,NA,1,0,1,0,0,0,2,147.5,0,147.5,0,0,0,460.9,0,460.9,0,0,0,230.45,230.45,0,0,0,0,0,0,230.45,230.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5978,Worm of spondias cytherea,Worm,Worms,611058,1,0,0,0,1,1000,0,0,0,6250,0,0,0,100,????,10,1000,50000,6.25,6250,60,Stable,,NA,NA,0,0,1,0,0,0,1,0,0,1000,0,0,0,0,0,6250,0,0,0,0,0,0,0,0,0,0,0,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6013,Worm of spondias cytherea,Worm,Worms,611055,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,0,0,0,0,0,0,NA,,NA,NA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6093,Worm of spondias cytherea,Worm,Worms,612998,1,0,1,0,2,65,0,65,0,731.25,0,731.25,0,13,????,10,130,90000,11.25,1462.5,120,Increase,10,10,NA,0,0,1,0,0,0,1,0,0,130,0,0,0,0,0,1462.5,0,0,0,0,0,0,0,0,0,0,0,731.25,0,731.25,0,0,0,0,0,0,0,0,0,0,0,0,0
6262,Worm of spondias cytherea,Worm,Worms,612999,1,0,1,0,2,27,0,27,0,135,0,135,0,54,????,1,54,40000,5,270,60,Decrease,60,-60,sale a lot,0,1,0,0,0,0,1,0,54,0,0,0,0,0,270,0,0,0,0,0,0,0,0,135,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6336,Worm of spondias cytherea,Worm,Worms,612003,1,0,1,0,2,20,0,20,0,125,0,125,0,8,????,5,40,50000,6.25,250,60,Decrease,80,-80,sale a lot,1,0,0,0,0,0,1,40,0,0,0,0,0,250,0,0,0,0,0,125,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6465,Worm of spondias cytherea,Worm,Worms,612029,0,0,1,0,1,0,0,105,0,0,0,0,0,21,????,5,105,0,0,0,30,Stable,,NA,NA,1,0,0,0,0,0,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8911,Worm of spondias cytherea,Worm,Worms,902116,0,0,1,0,1,0,0,76,0,0,0,0,0,76,kg,1,76,0,0,0,30,NA,50,50,NA,0,0,0,0,0,1,1,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8962,Worm of spondias cytherea,Worm,Worms,902073,0,0,1,0,1,0,0,720,0,0,0,0,0,48,kg,15,720,0,0,0,30,NA,70,70,NA,0,0,0,0,0,1,1,0,0,0,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9019,Worm of spondias cytherea,Worm,Worms,902067,0,0,1,0,1,0,0,750,0,0,0,0,0,50,kg,15,750,0,0,0,60,NA,80,80,NA,0,0,0,0,0,1,1,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9323,Worm of spondias cytherea,Worm,Worms,608061,1,0,1,0,2,73.5,0,73.5,0,367.5,0,367.5,0,49,????,3,147,40000,5,735,0,NA,20,20,NA,1,0,0,0,0,1,2,73.5,0,0,0,0,73.5,367.5,0,0,0,0,367.5,183.75,0,183.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.75,0,183.75,0
9348,Worm of spondias cytherea,Worm,Worms,612007,1,1,1,0,3,223.3,223.3,223.3,0,558.25,558.25,558.25,0,67,????,10,670,20000,2.5,1675,60,NA,,NA,NA,1,0,1,0,0,0,2,335,0,335,0,0,0,837.5,0,837.5,0,0,0,279.1666667,279.1666667,279.1666667,0,0,0,0,0,279.1666667,279.1666667,279.1666667,0,0,0,0,0,0,0,0,0,0,0,0,0
9392,Worm of spondias cytherea,Worm,Worms,605058,1,0,1,0,2,112,0,112,0,1120,0,1120,0,112,kg,2,224,80000,10,2240,20,NA,50,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9556,Worm of spondias cytherea,Worm,Worms,605056,1,0,1,0,2,185,0,185,0,1156.25,0,1156.25,0,74,kg,5,370,50000,6.25,2312.5,20,NA,30,30,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9604,Worm of spondias cytherea,Worm,Worms,605047,1,0,1,0,2,1230,0,1230,0,3843.75,0,3843.75,0,246,kg,10,2460,25000,3.125,7687.5,20,NA,50,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9705,Worm of spondias cytherea,Worm,Worms,605034,1,0,1,0,2,59,0,59,0,368.75,0,368.75,0,59,kg,2,118,50000,6.25,737.5,30,NA,80,80,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11345,Worm of spondias cytherea,Worm,Worms,605015,1,0,1,0,2,12.5,0,12.5,0,125,0,125,0,5,Kg,5,25,80000,10,250,90,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11564,Worm of spondias cytherea,Worm,Worms,605012,1,0,1,0,2,10,0,10,0,87.5,0,87.5,0,10,Kg,2,20,70000,8.75,175,60,NA,60,60,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1796,Worm of Shorea siamensis,Worm,Worms,609031,1,0,1,0,2,620,0,620,0,1162.5,0,1162.5,0,62,????,20,1240,15000,1.875,2325,40,Stable,0,0,NA,1,0,0,0,0,0,1,1240,0,0,0,0,0,2325,0,0,0,0,0,1162.5,0,1162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2292,Worm of Shorea siamensis,Worm,Worms,609044,0,0,1,0,1,0,0,62,0,0,0,0,0,62,????,1,62,0,0,0,10,Stable,0,0,NA,0,0,0,0,0,1,1,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,Worm of Shorea siamensis,Worm,Worms,609047,1,0,1,0,2,25,0,25,0,187.5,0,187.5,0,5,????,10,50,60000,7.5,375,60,Stable,0,0,NA,1,0,0,0,0,0,1,50,0,0,0,0,0,375,0,0,0,0,0,187.5,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3891,Worm of Shorea siamensis,Worm,Worms,609090,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,0,0,0,0,0,60,Stable,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3939,Worm of Shorea siamensis,Worm,Worms,609092,1,0,1,0,2,30,0,30,0,56.25,0,56.25,0,20,????,3,60,15000,1.875,112.5,15,Stable,0,0,NA,1,0,0,0,0,0,1,60,0,0,0,0,0,112.5,0,0,0,0,0,56.25,0,56.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4193,Worm of Shorea siamensis,Worm,Worms,609098,1,0,1,0,2,912.5,0,912.5,0,1710.9375,0,1710.9375,0,73,????,25,1825,15000,1.875,3421.875,10,Decrease,50,-50,NA,1,0,0,0,0,0,1,1825,0,0,0,0,0,3421.9,0,0,0,0,0,1710.95,0,1710.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9393,Worm of Calamus sp.,Worm,Worms,605058,1,0,1,0,2,112,0,112,0,14,0,14,0,112,kg,2,224,1000,0.125,28,100,NA,15,15,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9557,Worm of Calamus sp.,Worm,Worms,605056,1,0,1,0,2,37,0,37,0,23.125,0,23.125,0,74,kg,1,74,5000,0.625,46.25,10,NA,10,10,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9605,Worm of Calamus sp.,Worm,Worms,605047,1,0,1,0,2,1230,0,1230,0,3843.75,0,3843.75,0,246,kg,10,2460,25000,3.125,7687.5,20,NA,50,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9706,Worm of Calamus sp.,Worm,Worms,605034,0,0,1,0,1,0,0,59,0,0,0,368.75,0,59,kg,1,59,50000,6.25,368.75,20,NA,,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3584,Worm of Bamboo,Worm,Worms,609080,0,1,1,0,2,0,1.3,1.3,0,0,4.875,4.875,0,5,????,0.5,2.5,30000,3.75,9.375,60,Stable,0,0,NA,1,0,0,1,0,0,2,1.3,0,0,1.3,0,0,4.7,0,0,4.7,0,0,0,2.35,2.35,0,0,0,0,0,0,0,0,0,0,2.35,2.35,0,0,0,0,0,0,0,0,0
3565,Worm of Agenga sp.,Worm,Worms,609080,0,0,1,0,1,0,0,15,0,0,0,0,0,5,????,3,15,0,0,0,60,Decrease,, ,NA,0,0,1,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2332,Vitaceae sp.,Vitaceae,Vines,609046,0,0,0,1,1,0,0,0,100,0,0,0,0,50,????,2,100,0,0,0,10,Stable,0,0,NA,0,1,0,0,0,1,2,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5748,Vitaceae sp.,Vitaceae,Vines,605054,0,1,0,0,1,0,1840,0,0,0,0,0,0,184,????,10,1840,0,0,0,60,Stable,,NA,NA,1,0,0,0,0,0,1,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Tinospora sinensis,Tinospora,Vines,608011,0,0,0,1,1,0,0,0,5,0,0,0,0,5,????,1,5,0,0,0,0,Stable,0,0,NA,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Tinospora sinensis,Tinospora,Vines,608037,0,0,0,1,1,0,0,0,0,0,0,0,0,,????,2.7,0,0,0,0,0,Stable,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,Tinospora sinensis,Tinospora,Vines,608038,0,0,0,1,1,0,0,0,25,0,0,0,0,5,????,5,25,0,0,0,0,Decrease,5,-5,NA,1,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Tinospora sinensis,Tinospora,Vines,608039,0,0,1,1,2,0,0,75,75,0,0,0,0,15,????,10,150,0,0,0,0,Decrease,40,-40,NA,1,0,0,0,0,0,1,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,Tinospora sinensis,Tinospora,Vines,608040,0,0,1,1,2,0,0,1,1,0,0,0,0,1,????,2,2,0,0,0,0,Decrease,10,-10,NA,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,Tinospora sinensis,Tinospora,Vines,608094,0,0,0,1,1,0,0,0,630,0,0,0,0,63,????,10,630,0,0,0,0,Stable,0,0,NA,1,0,0,0,0,0,1,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042,Tinospora sinensis,Tinospora,Vines,609009,0,1,0,1,2,0,80,0,80,0,0,0,0,32,????,5,160,0,0,0,10,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,Tinospora sinensis,Tinospora,Vines,609010,0,0,1,1,2,0,0,465,465,0,0,0,0,93,????,10,930,0,0,0,30,Stable,0,0,NA,1,0,0,0,0,0,1,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
